296	Na hOirthir Uachtaracha	Orior Upper
297	Tuath Threana	Tiranny
298	Cianachta	Keenaght
299	Loch Inse Uí Fhloinn	Loughinsholin
300	Clochar	Clogher
301	An Machaire Buí	Magheraboy
303	Lorg	Lurg
304	Dún Geanainn Íochtarach	Dungannon Lower
305	Dún Geanainn Uachtarach	Dungannon Upper
306	Dún Geanainn Láir	Dungannon Middle
307	An Ómaigh Thoir	Omagh East
308	An Ómaigh Thiar	Omagh West
309	An Srath Bán Íochtarach	Strabane Lower
310	Achadh	Agha
311	Áth Fhád	Aghade
312	Ard Dúin	Ardoyne
313	Ard Breistin	Ardristan
314	Baile na Carraige	Ballinacarrig
315	Balana	Ballon
316	Baile Corróg	Ballycrogue
317	Baile Eilín	Ballyellin
318	Bealach Conglais	Baltinglass
319	Beirreach	Barragh
320	Ceatharlach	Carlow
321	Cluain Meilsí	Clonmelsh
323	Clóideach	Cloydagh
324	Craobhchruinn	Crecrin
325	Dún Leicne	Dunleckny
326	Fionnmhach	Fennagh
327	Baile Ghilibeart	Gilbertstown
328	An Ghráinseach	Grangeford
329	Baile Haicéid	Hacketstown
330	Baile Eireoil	Haroldstown
331	Cill Osna	Kellistown
332	Cill Dheirge	Killerrig
333	Cill Uisean	Killeshin
334	Cill Fhíonáin	Killinane
335	Cill Téagáin	Kiltegan
336	Cill tSinill	Kiltennell
337	Cinn Eich	Kineagh
338	Leamhdhroim	Lorum
339	Míseal	Myshall
340	An Urnaí	Nurney
341	Baile an Phaghanaigh	Painestown
342	Ráth Choill	Rahill
343	An Ráth Mhór	Rathmore
344	Ráth Bhile	Rathvilly
345	Slí Dhubh	Sliguff
346	Tigh Moling	St. Mullin's
347	Srath Bó	Straboe
348	Tulach Chruinn	Tullowcreen
349	Tulach Modhíoma	Tullowmagimma
350	Tulach Ó bhFeilme	Tullowphelim
351	Iolard	Ullard
352	Iorchuileann	Urglin
355	Cluain na gCuas	Clonygoose
358	Maigh Dhá Chonn	Moyacomb
361	Seanleithghlinn	Old Leighlin
362	Teampall Pheadair	Templepeter
365	Uilis	Wells
366	Eanach Gailbh	Annagelliff
367	-	Annagh
368	Coill an Chollaigh	Bailieborough
369	Baile an Teampaill	Ballintemple
370	Baile Mhic Aodha	Ballymachugh
371	Caisleán Raithin	Castlerahan
372	-	Castleterra
373	Cill Droim Feartáin	Crosserlough
374	Deinn	Denn
376	Droim Dhúin	Drumgoon
377	Droim Leathan	Drumlane
378	Droim Lomáin	Drumlumman
379	Droim Oiríolaigh	Drumreilly
380	Inis Caoin	Enniskeen
381	Cill Dalláin	Kildallan
382	-	Kildrumsherdan
383	Cill na Seanrátha	Killashandra
384	Cill Laighneach	Killinagh
385	Cillín Chéir	Killinkere
386	An Chill Mhór	Kilmore
386	-	Kilmore
387	Cill Náile	Kinawley
388	Leathráth	Larah
389	Leamhaigh	Lavey
390	-	Loughan or Castlekeeran
391	An Lorgain	Lurgan
392	An Mullach	Mullagh
393	Muintir Chonnacht	Munterconnaught
394	An Screabach	Scrabby
395	Searcóg	Shercock
396	-	Tomregan
397	-	Urney
402	Drong	Drung
403	Cill Bhríde	Kilbride
406	Cnoc Bhríde	Knockbride
407	Maigh Bolg	Moybolgue
408	Teampall an Phoirt	Templeport
411	An Mhainistir	Abbey
412	Bun Raite	Bunratty
413	An Carn	Carran
414	Cluain Dá Ghad	Clondagad
415	Cluain Lócháin	Clonloghan
416	Cluain Rois	Clonrush
417	Cluaine	Clooney
418	Dúire	Doora
419	Droim Críche	Drumcreehy
420	Drom Laoinn	Drumline
421	An Fhiacail	Feakle
422	Fíonach	Feenagh
423	Gleann Eidhneach	Gleninagh
424	Eidhneach	Inagh
425	Inse Chrónáin	Inchicronan
426	Inis Cealtra	Inishcaltra
427	Cill Bhaile Eoghain	Kilballyowen
428	Cill Bharráin	Kilbarron
429	Cill Chríost	Kilchreest
430	Cill Chomhraí	Kilconry
431	Cill Choirne	Kilcorney
432	Cill Fear Buí	Kilfarboy
433	Cill Fheadáin	Kilfiddane
434	Cill Fhionnachta	Kilfinaghta
435	Cill Fhiontanáin	Kilfintinan
436	Cill Chaoide	Kilkeedy
437	Cill an Dísirt	Killadysert
438	Cill Dalua	Killaloe
439	Cill Ard	Killard
440	Cill Easpaig Lonáin	Killaspuglonane
441	Cill Éinne	Killeany
442	Cill Liaile	Killeely
443	Cill Íomaí	Killimer
445	Cill Lua Finn	Killofin
446	Cill Ó gCinnéide	Killokennedy
447	Cill Onchan	Killonaghan
448	Cill Úráin	Killuran
449	-	Kilmacduane
450	Cill Mhic Creiche	Kilmacrehy
451	Cill Mhaoilfhithrigh	Kilmaleery
452	Cill Mhainchín	Kilmanaheen
453	Cill Mhichíl	Kilmihil
454	Cill Mhúine	Kilmoon
455	Cill Mhuire Uí Bhreacáin	Kilmurry
456	Cill na Móna	Kilnamona
457	Cill Átha na Súileach	Kilnasoolagh
458	An Chill Nua	Kilnoe
459	Cill Reachtais	Kilraghtis
460	Cill Rois	Kilrush
461	Cill Seanaigh	Kilshanny
462	Cill tSeanáin Léith	Kiltenanlea
463	Cill Tórachta	Kiltoraght
464	Maigh Fhearta	Moyarta
465	Maigh nEo	Moynoe
466	Nuachabháil	Noughaval
467	Tuath Ó gConaíle	Ogonnelloe
468	Ucht Máma	Oughtmama
469	Cuinche	Quin
470	An Ráth	Rath
471	Ráth Boirne	Rathborney
472	An Ruán	Ruan
473	Paróiste Mhainchín	St. Munchin's
474	Cill Chuáin	St. Patrick's
475	Teampall Uí Mháille	Templemaley
476	Tuaim Fhionnlocha	Tomfinlough
477	Tuaim Gréine	Tomgraney
478	An Tulach	Tulla
479	Mainistir an Chláir	Clareabbey
480	Cluain Lao	Clonlea
481	An Díseart	Dysert
482	Cill Fhiarach	Kilfearagh
483	Cill Fhionnúrach	Kilfenora
484	Cill Aidhleach	Killilagh
485	Cill Eoin	Killone
486	Cill Mháille	Kilmaley
487	Cill tSíle	Kilseily
488	Droichead Uí Bhriain	O'Briensbridge
489	Drom Cléibh	Drumcliff
490	Mainistir Ó mBána	Abbeymahon
491	Mainistir na Sruthrach	Abbeystrowry
492	Achadh Bolg	Aghabulloge
493	Áth Cros	Aghacross
494	Áth Fhada	Aghada
495	Achadh Dúin	Aghadown
496	Áth Cairn	Aghern
497	Achadh Fhíonach	Aghinagh
498	Eaglais Draighneach	Aglishdrinagh
499	Ardach	Ardagh
500	Ard Ó bhFicheallaigh	Ardfield
501	Ard na Gaoithe	Ardnageehy
502	Ard Scéithe	Ardskeagh
503	Áth na nUamhann	Athnowen
504	Baile na Baoi	Ballinaboy
505	Baile na Daibhche	Ballinadee
506	Baile an Teampaill	Ballintemple
507	Baile Cloiche	Ballyclogh
508	Baile Charránaigh	Ballycurrany
509	Baile Dúlóthair	Ballydeloher
510	Baile Feá Aird	Ballyfeard
511	Béal an Phoill	Ballyfoyle
512	Bealach Átha	Ballyhay
513	Baile Átha hÚlla	Ballyhooly
514	Baile an Mhoirtéalaigh	Ballymartle
515	Baile Uí Bhuadáin	Ballymodan
516	Baile Uí Mhoinigh	Ballymoney
517	An Baile Nua	Ballynoe
518	An Baile Uachtarach	Ballyoughtera
